date,stars,source,observed_at
2026-08-09,1,reconstructed,
2026-08-10,2,reconstructed,
2026-08-11,5,reconstructed,
2026-08-12,7,reconstructed,
2026-08-13,7,reconstructed,
2026-08-14,7,reconstructed,
2026-08-15,7,reconstructed,
2026-08-16,7,reconstructed,
2026-08-17,7,reconstructed,
2026-08-18,7,reconstructed,
2026-08-19,7,reconstructed,
2026-08-20,7,reconstructed,
2026-08-21,7,reconstructed,
2026-08-22,12,reconstructed,
2026-08-23,13,reconstructed,
2026-08-24,13,reconstructed,
2026-08-25,14,reconstructed,
2026-08-26,14,reconstructed,
2026-08-27,14,reconstructed,
2026-08-28,15,reconstructed,
2026-08-29,15,reconstructed,
2026-08-30,15,reconstructed,
2026-08-31,15,reconstructed,
2026-09-01,15,reconstructed,
2026-09-02,15,reconstructed,
2026-09-03,15,reconstructed,
2026-09-04,15,reconstructed,
2026-09-05,15,reconstructed,
2026-09-06,15,reconstructed,
2026-09-07,15,reconstructed,
2026-09-08,15,reconstructed,
2026-09-09,15,reconstructed,
2026-09-10,15,observed,2026-09-10T07:20:13.963Z
2026-09-11,15,observed,2026-09-10T21:37:27.261Z
2026-09-12,15,observed,2026-09-11T21:42:56.627Z
2026-09-13,15,observed,2026-09-12T21:25:55.143Z
2026-09-14,16,observed,2026-09-13T21:25:45.511Z
2026-09-15,17,observed,2026-09-14T22:29:47.628Z
2026-09-16,17,observed,2026-09-15T22:13:07.792Z
2026-09-17,17,observed,2026-09-16T22:09:33.480Z
2026-09-18,18,observed,2026-09-17T22:08:21.331Z
2026-09-19,18,observed,2026-09-18T21:40:28.773Z
2026-09-20,48,observed,2026-09-19T21:27:29.527Z
2026-09-21,68,observed,2026-09-20T21:32:08.186Z
2026-09-22,76,observed,2026-09-21T22:34:43.448Z
2026-09-23,79,observed,2026-09-22T22:07:38.758Z
2026-09-24,80,observed,2026-09-23T22:16:41.616Z
2026-09-25,83,observed,2026-09-24T22:22:59.133Z
2026-09-26,84,observed,2026-09-25T22:18:46.687Z
